celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,week1_avg_score,week2_avg_score,week3_avg_score,week4_avg_score,week5_avg_score,week6_avg_score,week7_avg_score,week8_avg_score,week9_avg_score,week10_avg_score,week11_avg_score,overall_avg_score,total_valid_weeks,mean_fan_vote,judges_score,is_eliminated,is_american,age_group,industry_performance
Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,5,3rd Place,3,7.0,7.0,7.0,,8.0,8.0,8.0,,9.0,8.0,9.0,,9.0,9.0,8.0,,7.0,7.0,7.0,,8.0,8.0,7.0,,9.0,8.5,8.5,,8.0,8.5,8.0,,9.5,9.5,9.0,,8.0,7.5,7.5,,,,,,7.0,8.0,8.666666666666666,8.666666666666666,7.0,7.666666666666667,8.666666666666666,8.166666666666666,9.333333333333334,7.666666666666667,,8.083333333333332,10,0.15748767756182996,24.25,False,1,40-50,5.2339473613181
Mark Cuban,Kym Johnson,TV Personality,Pennsylvania,United States,49,5,Eliminated Week 5,8,7.0,7.0,7.0,,6.0,6.0,6.0,,6.0,7.0,7.0,,7.0,8.0,7.0,,7.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,7.0,6.0,6.666666666666667,7.333333333333333,7.0,0.0,0.0,0.0,0.0,0.0,,3.4,10,0.0974393582076873,20.4,True,1,40-50,5.1819820478416
Cristian de la Fuente,Cheryl Burke,Actor/Actress,,Chile,34,6,3rd Place,3,7.0,7.0,7.0,,7.0,6.0,7.0,,8.0,8.0,9.0,,9.0,8.0,9.0,,7.0,8.0,8.0,,9.0,9.0,9.0,,7.5,7.5,8.0,,10.0,9.0,9.5,,9.5,9.0,9.5,,9.0,8.0,9.0,,,,,,7.0,6.666666666666667,8.333333333333334,8.666666666666666,7.666666666666667,9.0,7.666666666666667,9.5,9.333333333333334,8.666666666666666,,8.25,10,0.15174516176266345,25.166666666666668,False,0,30-40,5.4682266313525885
Steve Guttenberg,Anna Trebunskaya,Actor/Actress,New York,United States,49,6,Eliminated Week 3,10,6.0,6.0,6.0,,6.0,5.0,5.0,,7.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,6.0,5.333333333333333,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.8333333333333333,10,0.0473257106954855,18.5,True,1,40-50,5.4682266313525885
Priscilla Presley,Louis van Amstel,Actor/Actress,New York,United States,62,6,Eliminated Week 5,8,8.0,8.0,8.0,,7.0,7.0,7.0,,8.0,9.0,9.0,,7.0,7.0,8.0,,7.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,8.0,7.0,8.666666666666666,7.333333333333333,7.0,0.0,0.0,0.0,0.0,0.0,,3.8,10,0.07423019600816788,22.5,True,1,50+,5.4682266313525885
Marlee Matlin,Fabian Sanchez,Actor/Actress,Illinois,United States,42,6,Eliminated Week 6,7,7.0,7.0,8.0,,8.0,8.0,8.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,7.0,7.0,8.0,,7.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,7.333333333333333,8.0,7.0,8.0,7.333333333333333,7.0,0.0,0.0,0.0,0.0,,4.466666666666667,10,0.10206894518669576,22.4,True,1,40-50,5.4682266313525885
Shannon Elizabeth,Derek Hough,Actor/Actress,Texas,United States,34,6,Eliminated Week 7,6,7.0,7.0,7.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,9.0,10.0,9.0,,8.0,8.0,7.0,,8.0,8.0,8.0,,8.5,8.5,8.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,7.0,8.0,8.0,9.333333333333334,7.666666666666667,8.0,8.5,0.0,0.0,0.0,,5.65,10,0.09312288372961668,24.75,True,1,30-40,5.4682266313525885
Marissa Jaret Winokur,Tony Dovolani,Actor/Actress,New York,United States,35,6,Eliminated Week 9,4,6.0,6.0,6.0,,7.0,7.0,7.0,,6.0,7.0,6.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,9.0,8.0,9.0,,9.0,8.5,8.5,,8.5,8.0,8.5,,8.5,9.0,8.5,,0.0,0.0,0.0,,,,,,6.0,7.0,6.333333333333333,8.0,8.0,8.666666666666666,8.666666666666666,8.333333333333334,8.666666666666666,0.0,,6.966666666666667,10,0.15977005582956977,23.875,True,1,30-40,5.4682266313525885
Jason Taylor,Edyta Sliwinska,Athlete,Pennsylvania,United States,33,6,2nd Place,2,7.0,8.0,7.0,,9.0,9.0,9.0,,8.0,7.0,8.0,,10.0,9.0,10.0,,9.0,9.0,9.0,,8.0,8.0,8.0,,9.5,8.5,9.5,,9.0,8.0,9.0,,9.0,9.5,9.0,,9.5,9.5,9.5,,,,,,7.333333333333333,9.0,7.666666666666667,9.666666666666666,9.0,8.0,9.166666666666666,8.666666666666666,9.166666666666666,9.5,,8.716666666666667,10,0.1837194780812975,26.61111111111111,False,1,30-40,5.533598519758994
Kristi Yamaguchi,Mark Ballas,Athlete,California,United States,36,6,1st Place,1,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,10.0,9.0,10.0,,9.0,10.0,10.0,,10.0,10.0,10.0,,9.5,8.0,9.5,,8.5,9.5,9.5,,9.5,9.0,10.0,,10.0,10.0,10.0,,,,,,9.0,9.0,9.0,9.666666666666666,9.666666666666666,10.0,9.0,9.166666666666666,9.5,10.0,,9.4,10,0.2401327702867414,28.333333333333332,False,1,30-40,5.533598519758994
Monica Seles,Jonathan Roberts,Athlete,,Yugoslavia,34,6,Eliminated Week 2,11,5.0,5.0,5.0,,5.0,5.0,5.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,10,0.0207499890904148,15.0,True,0,30-40,5.533598519758994
Penn Jillette,Kym Johnson,Magician,Massachusetts,United States,53,6,Eliminated Week 2,12,5.0,6.0,5.0,,6.0,6.0,5.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,5.333333333333333,5.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.1,10,0.0213055836852744,17.0,True,1,50+,1.1
Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,6,Eliminated Week 4,9,5.0,5.0,5.0,,6.0,7.0,6.0,,7.0,7.0,7.0,,6.0,7.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,5.0,6.333333333333333,7.0,6.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,2.4666666666666663,10,0.06929573051296813,19.666666666666668,True,1,40-50,3.056271043771044
Mario,Karina Smirnoff,Singer/Rapper,Maryland,United States,21,6,Eliminated Week 8,5,8.0,8.0,8.0,,9.0,8.0,9.0,,7.0,6.0,8.0,,8.0,7.0,9.0,,9.0,9.0,9.0,,9.0,9.0,10.0,,8.5,8.5,8.5,,9.0,8.5,9.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,8.0,8.666666666666666,7.0,8.0,9.0,9.333333333333334,8.5,8.833333333333334,0.0,0.0,,6.733333333333334,10,0.11869512344824393,25.428571428571427,True,1,<30,5.2339473613181
Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,7,Eliminated Week 1,12,6.0,6.0,6.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,6.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.6166666666666667,10,0.0100329799618977,18.5,True,1,40-50,5.4682266313525885
Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,7,Eliminated Week 6,7,6.0,5.0,5.0,,5.0,5.0,5.0,,6.0,5.0,5.0,,8.0,7.0,7.0,,7.0,7.0,7.0,,5.0,5.0,5.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,5.333333333333333,5.0,5.333333333333333,7.333333333333333,7.0,5.0,0.0,0.0,0.0,0.0,,3.5,10,0.11120635901979044,17.8,True,1,50+,5.4682266313525885
Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,7,Eliminated Week 7,6,6.0,6.0,6.5,,7.0,7.0,7.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,7.0,7.0,8.0,,8.0,8.0,7.0,,8.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,6.166666666666667,7.0,7.0,8.0,7.333333333333333,7.666666666666667,8.0,0.0,0.0,0.0,,5.116666666666667,10,0.10609183171890936,22.083333333333332,True,1,50+,5.4682266313525885
Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,7,Eliminated Week 9,4,7.0,6.5,7.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,7.0,8.0,8.0,,10.0,9.0,9.0,,8.0,8.0,7.0,,8.0,7.0,7.0,,8.0,8.0,8.0,,8.0,7.5,7.5,,0.0,0.0,0.0,,,,,,6.833333333333333,7.0,7.0,7.666666666666667,9.333333333333334,7.666666666666667,7.333333333333333,8.0,7.666666666666667,0.0,,6.85,10,0.12530878237012003,23.0625,True,1,<30,5.4682266313525885
Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,7,Withdrew,10,6.5,7.5,7.0,,7.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.4,10,0.09436069443375436,21.0,False,1,30-40,5.533598519758994
Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,7,Eliminated Week 8,5,6.5,6.5,6.5,,7.0,6.0,6.0,,8.0,8.0,8.0,,6.0,7.0,7.0,,9.0,9.0,9.0,,7.0,7.0,7.0,,8.0,9.0,8.0,,8.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,6.5,6.333333333333333,8.0,6.666666666666667,9.0,7.0,8.333333333333334,8.0,0.0,0.0,,5.983333333333333,10,0.11865315735667678,22.214285714285715,True,1,30-40,5.533598519758994
Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,7,2nd Place,2,7.0,7.0,7.5,,8.0,8.0,8.0,,9.0,8.0,8.0,,8.0,7.0,7.0,,8.0,8.0,9.0,,8.0,9.0,8.0,,7.0,7.0,7.0,,9.5,8.5,9.0,,8.5,8.0,8.0,,9.0,9.5,9.0,,,,,,7.166666666666667,8.0,8.333333333333334,7.333333333333333,8.333333333333334,8.333333333333334,7.0,9.0,8.166666666666666,9.166666666666666,,8.083333333333334,10,0.20794778030404423,24.166666666666668,False,1,30-40,5.533598519758994
Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,7,Eliminated Week 1,13,4.0,4.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.4,10,0.0251519552865393,12.0,True,1,40-50,3.67746512345679
Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,7,Eliminated Week 5,8,7.5,7.0,8.0,,7.0,8.0,8.0,,8.0,7.0,7.0,,7.0,7.0,8.0,,7.0,7.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,7.5,7.666666666666667,7.333333333333333,7.333333333333333,7.333333333333333,0.0,0.0,0.0,0.0,0.0,,3.7166666666666672,10,0.07551299501207442,22.375,True,1,30-40,5.2339473613181
Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,7,3rd Place,3,7.5,6.0,8.0,,7.0,6.0,7.0,,8.0,7.0,7.0,,9.0,8.0,9.0,,7.0,7.0,7.0,,9.0,9.0,9.0,,9.0,7.0,9.0,,8.5,7.5,9.0,,10.0,9.0,9.5,,9.0,9.0,9.5,,,,,,7.166666666666667,6.666666666666667,7.333333333333333,8.666666666666666,7.0,9.0,8.333333333333334,8.333333333333334,9.5,9.166666666666666,,8.116666666666667,10,0.14775499936971997,24.61111111111111,False,1,<30,5.2339473613181
Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,7,Eliminated Week 2,11,6.0,6.5,6.0,,6.0,6.0,5.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,6.166666666666667,5.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.1833333333333333,10,0.04485892737804695,17.75,True,1,<30,5.1819820478416
Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,7,Eliminated Week 4,9,6.0,5.5,6.0,,5.0,6.0,5.0,,7.0,7.0,6.0,,6.0,6.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,5.833333333333333,5.333333333333333,6.666666666666667,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.3833333333333337,10,0.07237740541958683,17.166666666666668,True,1,40-50,5.1819820478416
Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,7,1st Place,1,8.0,8.0,8.5,,8.0,8.0,8.0,,9.0,10.0,9.0,,9.0,8.0,9.0,,10.0,9.0,10.0,,8.0,10.0,8.0,,10.0,10.0,10.0,,9.5,8.5,9.5,,8.0,8.5,8.0,,10.0,10.0,10.0,,,,,,8.166666666666666,8.0,9.333333333333334,8.666666666666666,9.666666666666666,8.666666666666666,10.0,9.166666666666666,8.166666666666666,10.0,,8.983333333333333,10,0.21558238465410143,26.833333333333332,False,1,30-40,5.1819820478416
Gilles Marini,Cheryl Burke,Actor/Actress,,France,33,8,2nd Place,2,8.0,8.0,8.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,10.0,10.0,10.0,,10.0,9.0,10.0,,9.0,8.0,9.0,,9.0,9.0,9.0,,9.0,9.0,9.5,,9.5,9.0,9.5,,10.0,10.0,10.0,,9.5,10.0,9.5,,8.0,9.0,9.0,10.0,9.666666666666666,8.666666666666666,9.0,9.166666666666666,9.333333333333334,10.0,9.666666666666666,9.227272727272727,11,0.15627750338341953,28.05,False,0,30-40,5.4682266313525885
Denise Richards,Maksim Chmerkoskiy,Actor/Actress,Illinois,United States,38,8,Eliminated Week 3,12,6.0,6.0,6.0,,7.0,7.0,7.0,,5.0,6.0,5.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,6.0,7.0,5.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666665,11,0.04076790949818545,18.5,True,1,30-40,5.4682266313525885
David Alan Grier,Kym Johnson,Actor/Actress,Michigan,United States,52,8,Eliminated Week 5,9,6.0,7.0,6.0,,6.0,5.0,6.0,,8.0,8.0,8.0,,8.0,7.0,7.0,,7.0,8.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,6.333333333333333,5.666666666666667,8.0,7.333333333333333,7.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,3.1515151515151514,11,0.05923503775210703,21.25,True,1,50+,5.4682266313525885
Lawrence Taylor,Edyta Sliwinska,Athlete,Virginia,United States,50,8,Eliminated Week 7,7,6.0,5.0,5.0,,7.0,6.0,7.0,,7.0,6.0,7.0,,7.0,5.0,7.0,,6.0,7.0,7.0,,7.0,7.0,8.0,,7.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,5.333333333333333,6.666666666666667,6.666666666666667,6.333333333333333,6.666666666666667,7.333333333333333,7.0,0.0,0.0,0.0,0.0,4.181818181818182,11,0.09985118322221882,20.333333333333332,True,1,40-50,5.533598519758994
Ty Murray,Chelsie Hightower,Athlete,Arizona,United States,39,8,Eliminated Week 10,4,5.0,4.0,5.0,,7.0,6.0,7.0,,8.0,8.0,7.0,,9.0,8.0,8.0,,7.0,7.0,7.0,,6.0,6.0,6.0,,8.0,8.0,8.0,,9.0,8.0,9.0,,7.5,8.0,7.5,,8.0,8.0,8.0,,0.0,0.0,0.0,,4.666666666666667,6.666666666666667,7.666666666666667,8.333333333333334,7.0,6.0,8.0,8.666666666666666,7.666666666666667,8.0,0.0,6.606060606060606,11,0.13778761438165255,22.666666666666668,True,1,30-40,5.533598519758994
Shawn Johnson,Mark Ballas,Athlete,Iowa,United States,17,8,1st Place,1,8.0,8.0,7.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,8.0,8.0,9.0,,9.0,8.0,9.0,,8.0,9.0,9.0,,9.0,9.0,10.0,,9.0,8.0,9.0,,9.5,9.0,9.5,,9.5,9.0,9.5,,10.0,10.0,10.0,,7.666666666666667,8.0,9.0,8.333333333333334,8.666666666666666,8.666666666666666,9.333333333333334,8.666666666666666,9.333333333333334,9.333333333333334,10.0,8.818181818181817,11,0.20898128779537672,26.8,False,1,<30,5.533598519758994
Steve Wozniak,Karina Smirnoff,Entrepreneur,California,United States,58,8,Eliminated Week 4,10,5.0,4.0,4.0,,6.0,5.0,6.0,,4.0,3.0,3.0,,4.0,4.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,4.333333333333333,5.666666666666667,3.3333333333333335,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.575757575757576,11,0.08369059260099293,13.0,True,1,50+,2.8019886363636366
Belinda Carlisle,Jonathan Roberts,Singer/Rapper,California,United States,50,8,Eliminated Week 2,13,6.0,6.0,5.0,,6.0,6.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,5.666666666666667,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0606060606060608,11,0.0063771775648405,18.0,True,1,40-50,5.2339473613181
Chuck Wicks,Julianne Hough,Singer/Rapper,Delaware,United States,29,8,Eliminated Week 8,6,6.0,7.0,7.0,,6.0,7.0,7.0,,8.0,7.0,8.0,,8.0,7.0,7.0,,7.0,8.0,8.0,,8.0,7.0,8.0,,9.0,9.0,9.0,,8.5,8.5,8.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,6.666666666666667,6.666666666666667,7.666666666666667,7.333333333333333,7.666666666666667,7.666666666666667,9.0,8.5,0.0,0.0,0.0,5.560606060606061,11,0.09548528191529718,23.357142857142858,True,1,<30,5.2339473613181
Lil' Kim,Derek Hough,Singer/Rapper,New York,United States,34,8,Eliminated Week 9,5,7.0,7.0,7.0,,8.0,7.0,8.0,,8.0,8.0,9.0,,9.0,8.0,10.0,,9.0,8.0,9.0,,10.0,8.0,10.0,,9.0,8.0,9.0,,9.0,9.0,10.0,,8.5,9.0,8.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,7.0,7.666666666666667,8.333333333333334,9.0,8.666666666666666,9.333333333333334,8.666666666666666,9.333333333333334,8.666666666666666,0.0,0.0,6.96969696969697,11,0.10958791254497163,26.125,True,1,30-40,5.2339473613181
Steve-O,Lacey Schwimmer,TV Personality,,England,34,8,Eliminated Week 6,8,6.0,5.0,6.0,,5.0,4.0,5.0,,5.0,5.0,5.0,,5.0,5.0,5.0,,6.0,6.0,6.0,,7.0,4.0,5.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,5.666666666666667,4.666666666666667,5.0,5.0,6.0,5.333333333333333,0.0,0.0,0.0,0.0,0.0,2.878787878787879,11,0.11091653546236098,15.6,True,0,30-40,5.1819820478416
Holly Madison,Dmitry Chaplin,TV Personality,Oregon,United States,30,8,Eliminated Week 4,11,6.0,6.0,6.0,,6.0,6.0,6.0,,5.0,6.0,6.0,,5.0,6.0,5.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,6.0,6.0,5.666666666666667,5.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.090909090909091,11,0.0743479993807565,17.0,True,1,<30,5.1819820478416
Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,26,8,3rd Place,3,8.0,7.0,8.0,,9.0,8.0,9.0,,9.0,9.0,9.0,,10.0,9.0,10.0,,8.0,8.0,9.0,,9.0,9.0,9.0,,10.0,9.0,10.0,,7.5,7.5,8.0,,9.5,9.5,9.5,,9.0,9.5,9.0,,9.5,9.5,9.5,,7.666666666666667,8.666666666666666,9.0,9.666666666666666,8.333333333333334,9.0,9.666666666666666,7.666666666666667,9.5,9.166666666666666,9.5,8.893939393939394,11,0.16095645848503048,27.05,False,1,<30,5.1819820478416
Ashley Hamiliton,Edyta Sliwinska,Actor/Actress,California,United States,34,9,Eliminated Week 1,16,6.3333,7.3333,5.3333,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,6.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.6333300000000001,10,0.0097430872512591,18.9999,True,1,30-40,5.4682266313525885
Debi Mazar,Maksim Chmerkoskiy,Actor/Actress,New York,United States,45,9,Eliminated Week 3,12,8.0,7.0,7.0,,7.0,7.0,7.0,,6.0,5.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,7.333333333333333,7.0,5.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,10,0.05362792861535103,20.0,True,1,40-50,5.4682266313525885
Melissa Joan Hart,Mark Ballas,Actor/Actress,New York,United States,33,9,Eliminated Week 6,9,8.0,8.0,8.0,,7.0,6.0,6.0,,6.0,6.0,7.0,,9.0,9.0,10.0,,8.0,8.0,7.0,,8.3333,8.3333,7.3333,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,8.0,6.333333333333333,6.333333333333333,9.333333333333334,7.666666666666667,7.9999666666666664,0.0,0.0,0.0,0.0,,4.5666633333333335,10,0.08921232466007527,22.833316666666665,True,1,30-40,5.4682266313525885
Mark Dacascos,Lacey Schwimmer,Actor/Actress,Hawaii,United States,45,9,Eliminated Week 7,6,9.6666,9.6666,9.6666,,7.0,7.0,7.0,,6.0,6.0,6.0,,8.0,7.0,7.0,,9.0,9.0,8.0,,11.0,11.0,10.0,,7.0,7.5,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,9.6666,7.0,6.0,7.333333333333333,8.666666666666666,10.666666666666666,7.166666666666667,0.0,0.0,0.0,,5.649993333333333,10,0.08448401364183164,24.214257142857143,True,1,40-50,5.4682266313525885
Chuck Liddell,Anna Trebunskaya,Athlete,California,United States,39,9,Eliminated Week 4,11,8.0,7.0,7.0,,6.0,7.0,6.0,,6.0,5.0,6.0,,6.0,5.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,7.333333333333333,6.333333333333333,5.666666666666667,5.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,,2.5,10,0.06765135629244498,18.75,True,1,30-40,5.533598519758994
Natalie Coughlin,Alec Mazo,Athlete,California,United States,27,9,Eliminated Week 5,10,9.6666,8.6666,8.6666,,7.0,7.0,7.0,,9.0,8.0,9.0,,8.0,8.0,8.0,,7.0,8.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,8.999933333333333,7.0,8.666666666666666,8.0,7.333333333333333,0.0,0.0,0.0,0.0,0.0,,3.9999933333333333,10,0.06719322026357441,23.999959999999998,True,1,<30,5.533598519758994
Louie Vito,Chelsie Hightower,Athlete,Ohio,United States,21,9,Eliminated Week 6,8,8.6666,9.6666,8.6666,,6.0,7.0,6.0,,8.0,5.0,7.0,,5.0,5.0,6.0,,7.0,8.0,7.0,,8.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,8.999933333333333,6.333333333333333,6.666666666666667,5.333333333333333,7.333333333333333,8.0,0.0,0.0,0.0,0.0,,4.26666,10,0.09602820618941289,21.333299999999998,True,1,<30,5.533598519758994
